ЭКР 2102КФ, МИНИКА 1102МКФ
«–» под знаком «ОШ»;Неверные действия оператора
Err 042;Сервер не отвечает
Err 043;Ошибка протокола обмена с сервером
Err 044;Отказ в обработке запроса сервера
Err 045;Неверное значение кода товаров
Err 046;Товар в базе не найден
Err 047;Недостаточно денег при подсчёте сдачи
Err 049;Незапрограммированные налог или налоговая группа
Err 050;Ошибка в базе налогов
Err 051;Переполнение ФП
Err 052;Ошибка ФП
Err 055;Ошибка записи в ФП
Err 057;Нефискальный режим
Err 058;Нет регистрации ЭКЛЗ в ФП
Err 060;Фискальная запись повреждена
Err 062;Нет заводского номера
Err 064;Некорректное время
Err EL01;Ошибка параметров при передаче данных в ЭКЛЗ
Err EL02;Неверное состояние ЭКЛЗ
Err EL03;Сообщение ЭКЛЗ о неисправности
Err EL04;Неисправен криптопроцессор
Err EL05;Исчерпан временной ресурс ЭКЛЗ
Err EL06;ЭКЛЗ переполнена
Err EL07;Ошибка даты или времени ЭКЛЗ
Err EL08;Нет запрошенных данных в ЭКЛЗ
Err EL09;Переполнение регистров ЭКЛЗ
Err EL10;Данные ФП в ЭКЛЗ не совпадают
Err EL11;ЭКЛЗ не активизирована или не с данного аппарата
Err EL12;Не совпадают номера смен В ФП и ЭКЛЗ
АП;Авария питания
ЗУ НЕНОР;Неисправность DATA FLASH
НБУ;Нет бумаги
НП НЕНОР;Неисправность фискальной памяти
ОСТ В БАЗЕ;Не произведён отчёт с гашением по базе товаров или услуг
ПЕРЕГРЕВ;Перегрев печатающей головки
ПОдГ;Термоголовка отведена
ПУ НЕНОР;Неисправно печатающее устройство
Меркурий 130К
EL НЕНОР;ЭКЛЗ не подключена или неисправна
Err 001;Сбой шины I2C
Err 003;Неисправность таймера
Err 006;Неисправна либо неотформатирована DATA FLASH
Err 007;Нарушение структурных данных
Err 008;Сбой ОЗУ таймера
Err 009;Ошибка при восстановлении после аварийного отключения
Err 010;Незапрограммированная дата
Err 011;Неверная дата
Err 025;Переполнение буфера чеков
Err 026;Неверная операция
Err 027;Операция прервана
Err 028;Ошибка ввода
Err 029;Попытка продажи товаров по коду в режиме 0 или возврат по коду, когда разрешен только суммовой возврат
Err 030;Выплата или возврат: запрошенной суммы нет в наличии
Err 031;Нет бумаги
Err 032;Критическая ошибка буфера чеков
Err 036;Переполнение регистра
Err 037;Попытка продажи в закрытую секцию
Err 038;Несовпадение типов секции и операции
Err 040;Товар в базе заблокирован
Err 041;Попытка продаж дробной части
Err 042;Сервер не отвечает
Err 043;Ошибка протокола обмена с процессором
Err 044;Отказ в обработке запроса сервером
Err 045;Неверное значение вода товара 
Err 046;Товар в базе не найден
Err 047;Недостаточно денег при подсчете сдачи
Err 049;Не запрограммирован налог или налоговая группа
Err 050;Ошибка в базе налогов
Err 051;Переполнение ФП
Err 052;Ошибка ФП
Err 055;Ошибка записи в ФП
Err 057;Нефискальный режим
Err 058;Нет регистрации ЭКЛЗ в ФП
Err 060;Фискальная запись повреждена
Err 062;Нет заводского номера
Err 064;Некорректное время
Err EL01;Ошибка параметров при передаче данных а ЭКЛЗ
Err EL02;Неверное состояние ЭКЛЗ
Err EL03;Сообщение ЭКЛЗ о неисправности
Err EL04;Неисправен криптопроцессор
Err EL05;Исчерпан временной ресурс ЭКЛЗ
Err EL06;ЭКЛЗ переполнена
Err EL07;Ошибка даты или времени ЭКЛЗ
Err EL08;Нет запрошенных данных в ЭКЛЗ
Err EL09;Переполнение регистров ЭКЛЗ
Err EL10;Данные ФП и ЭКЛЗ не совпадают
Err EL11;ЭКЛЗ не зарегистрирована или не с данного аппарата
Err EL12;Не совпадают номера смен в ФП и ЭКЛЗ
АП;Авария питания (разряжен аккумулятор)
ЗУ НЕНОР;Неисправность DATA FLASH
НБУ;Нет чековой ленты
НП НЕНОР;Неисправность ФП
ОСТ В БАЗЕ;Не проведён отчёт с гашением по базе товаров или услуг
ПЕРЕГРЕВ;Перегрев печатающей головки
ПЗУ НЕНОР;Сбой контрольной суммы программы
ПОд Г;Термоголовка отведена
ПРОВ ОСГ;Не закрыта смена
ПУ НЕНОР;Неисправность печатающей головки
Меркурий 180К
Err 001;Некорректный формат или параметр команды ЭКЛЗ
Err 002;Некорректное состояние ЭКЛЗ
Err 003;Авария ЭКЛЗ
Err 004;Неисправен криптопроцессор
Err 005;Исчерпан временной ресурс ЭКЛЗ
Err 006;ЭКЛЗ переполнена
Err 007;Ошибка даты/времени ЭКЛЗ
Err 008;Нет запрошенных данных в ЭКЛЗ
Err 009;Переполнение регистров ЭКЛЗ
Err 010;ЭКЛЗ не обнаружена
Err 011;Ошибка обмена с ЭКЛЗ
Err 012;Флаг «а» = 1 (неисправимая ошибка)
Err 013;Номер ЭКЛЗ и запись в ФП не совпадают
Err 014;Активизация ЭКЛЗ невозможна, нужна фискальная регистрация ККМ
Err 015;Активизация ЭКЛЗ невозможна, ЭКЛЗ уже активизирована
Err 016;Закрыть архив ЭКЛЗ невозможно, он уже закрыт
Err 017;Дата в ЭКЛЗ меньше, чем в ФП
Err 018;Номер смены в ФП больше номера смены в ЭКЛЗ
Err 019;Архив ЭКЛЗ закрыт, а выбранный режим ККМ требует, чтобы он был открыт
Err 031;Нет бумаги
Err 032;Ошибка головки принтера
Err 033;Неисправен датчик бумаги
Err 034;Перегрев термоголовки
Err 060;Ошибка линии I2C
Err 061;Ошибка чтения записи в EEPROM
Err 062;Ошибка очерёдности нажатия клавиш в тесте клавиатуры
Err 090;Системные дата/время меньше, чем занесены в ФП и (или) ЭКЛЗ
Err 091;Буфер чеков переполнен
Err 092;Ошибка данных буфера чеков
Err 097;Требуется Z-отчёт базе товаров/услуг
Err 098;Требуется сменный Z-отчёт
Err 099;Запрограммируйте дату/время
Err 100;Требуется сменный отчёт – смена закончилась (истекли 24 часа)
Err 101;Ошибка действий оператора
Err 102;В чеке много операций – требуется его закрытие
Err 103;Операции со свободной суммой запрещены (опция 9)
Err 104;В цене три знака после запятой
Err 105;Нулевая цена
Err 106;Нулевая сумма продажи
Err 107;Сумма продажи велика
Err 108;Налог не запрограммирован
Err 109;Секция закрыта
Err 110;Неверное значение секции
Err 111;Ошибка при ограничении цены в секции
Err 112;Попытка аннуляции в секцию больше, чем продано
Err 113;Неверный код товара
Err 114;Товар не найден
Err 115;Товар заблокирован
Err 116;Попытка продажи дробного количества штучного товара
Err 117;Попытка провести товар/услугу в неверную секцию
Err 118;Суммовая скидка/наценка запрещена (опция 8)
Err 119;Процентная скидка/наценка запрещена (опция 7)
Err 120;Неверное значение скидки/наценки
Err 121;При открытом чеке возможна только операция оплаты чека
Err 122;Безналичная оплата запрещена (опция 6)
Err 123;Недостаточно наличных в кассе
Err 200;Нет ФП или она неисправна
Err 201;Ошибка фискальных данных
Err 202;Нет заводского номера в ФП
Err 203;Нет свободного места для записей о регистрации в ФП
Err 204;Нет свободного места для записей в ФП об активизации ЭКЛЗ
Err 205;Нет свободного места для записей в ФП для сменных отчётов
Err 206;Неверно задан интервал периода, в котором снимается отчёт по ФП
Меркурий 111К
ООП;При одновременном нажатии на две и более клавиши или при вводе более 8-ми цифр. Блокировка снимается нажатием клавиши «С»
АП-1;Авария принтера. Обрыв или отсутствие ленты
АП-2;Авария принтера. Неисправность привода печатающей головки. Не найден датчик положения печатающей головки. Блокировки снимаются после установки ленты и нажатия клавиши «С»
ПП;При превышении итоговой суммы одного клиента 9 разрядов (9999999,99), а также при выполнении операций «возврат» или «выплата из кассы», если изымаемая сумма больше суммы в соответствующих регистрах. Блокировка снимается нажатием клавиши «С»
НП;Отсутствует или неисправна фискальная память
ОЗАП;Ошибка записи в фискальную память
ПЗАП;Переполнение ресурса сменных записей в фискальной памяти
НСГ;Необходимо закрыть смену
ПЧ;Переполнение чека при превышении количества строк в чеке (более 38). Блокировка снимается нажатием клавиши «С». После снятия блокировки провести операции по закрытию чека
АНП;Авария напряжения питания. Неисправность источника питания
Нd;Неверная дата. Блокировка снимается нажатием клавиши «С»
ЧАН;Чек аннулирован. Блокировка снимается нажатием клавиши «С»
НБ;Нет бумаги для печати квитанции
ОН 01;Некорректный формат или параметр команды
ОН 02;Некорректное состояние ЭКЛЗ
ОН 03;Авария ЭКЛЗ
ОН 04;Авария криптографического сопроцессора в ЭКЛЗ
ОН 05;Исчерпан временной ресурс ЭКЛЗ
ОН 06;Переполнение ЭКЛЗ
ОН 07;Неверная дата или время
ОН 08;Нет запрошенных данных
ОН 09;Слишком много отделов для клиента
ОН 80;Осталось мало места для записей в ЭКЛЗ
ПЕЧАТЬ ОСТАНОВЛЕНА (чек);Печать отчёта остановлена пользователем
РЕС. ЗАП. ЭКЛЗ ОГР. (чек);Ресурс записи в ЭКЛЗ ограничен
ВРЕМ. РЕС. ЭКЛЗ ИСЧ. (чек);Временной ресурс ЭКЛЗ исчерпан
ВОССТ. ИЗ ЭКЛЗ (чек);Восстановлены данные из ЭКЛЗ при расхождении сумм в ККМ и в ЭКЛЗ
ПЕРЕПОЛНЕНИЕ ЭКЛЗ (чек);Память ЭКЛЗ переполнена
АВАРИЯ ЭКЛЗ (чек);Авария ЭКЛЗ
АВАРИЯ КРИПТОПРОЦ. (чек);Неустранимая авария криптографического сопроцессора
ВЫКЛ. И ВКЛ. ККМ (чек);Аппаратный сбой ЭКЛЗ
NN СМЕН ЭКЛЗ И ФП НЕ СОВПАДАЮТ. ККМ ЗАБЛОКИРОВАНА (чек);Расхождение номеров смен в ФП и в ЭКЛЗ
Элвес-Микро К, Астра 100-01К
8;Неверная цена (сумма)
10;Неверное количество
11;Превышение ограничения суммы операции в секцию
12;Невозможно сторно последней операции
13;Сторно по коду невозможно (в чеке зарегистрировано меньшее количество товаров с указанным кодом)
14;Невозможен повтор последней операции
15;Операция после начисления скидки/наценки невозможна
17;Неверный код товара
60;Неверная налоговая группа
61;Операция после вычисления налога на весь чек невозможна
99;Операция отменена
102;Неверный режим
103;Нет бумаги
112;Документ в ЭКЛЗ закрыт
113;Ошибка повторной печати документа
114;Нулевая сумма чека
115;Накопление меньше суммы возврата или аннулирования
127;Переполнение при умножении
128;Операция запрещена в таблице настроек
129;Переполнение итога чека
132;Переполнение буфера чека
133;Переполнение денежных регистров
134;Вносимая клиентом сумма меньше суммы чека
135;Открыт чек возврата – операция невозможна
136;Смена превысила 24 часа
137;Открыт чек продажи – операция невозможна
138;Переполнение количества продажи/возврата продажи товара
139;Переполнение количества продажи/возврата/сброса дозы по колонке
141;Буфер контрольной ленты не переполнен
150;Сумма чека по секции меньше суммы сторно
151;Подсчет суммы сдачи невозможен
152;В ККМ нет денег для выплаты
153;Смена закрыта (неоткрыта), операция невозможна
154;Чек закрыт, операция невозможна
155;Чек открыт, операция невозможна
156;Смена открыта, операция невозможна
160;Ошибка ФП
161;Ошибка данных ФП
170;В ФП нет данных
182;Ошибка идентификационного номера платежной карты
185;Нет прав доступа к режиму (операции)
190;Переполнение ФП
191;Ошибка ПО
192;Ошибка внутренней памяти (ОЗУ) микроконтроллера
193;Сбой ПО
194;Недостаточно памяти РПЗУ
195;Память ККМ не инициализирована
196;Ошибка обмена с РПЗУ
197;Ошибка часов
198;Ошибка шины I2C (шина занята)
201;Нет связи
202;Неверное состояние пульта ТРК/ГНК
203;В чеке продажи топлива возможна только одна регистрация
204;Неверный номер пульта ТРК/ГНК
205;Ошибка восстановления состояния после сбоя (выключения питания)
206;Неизвестная ошибка пульта ТРК/ГНК
210;Ошибка связи с ЭКЛЗ или ЭКЛЗ отсутствует
211;Некорректный формат команды или параметров ЭКЛЗ
212;Некорректное состояние ЭКЛЗ
213;Авария ЭКЛЗ
214;Авария крипто-процессора ЭКЛЗ
215;Исчерпан временной ресурс использования ЭКЛЗ
216;Переполнение ЭКЛЗ
217;Неверные дата или время, переданные в ЭКЛЗ
218;Нет запрошенных данных в ЭКЛЗ
219;Переполнение итога документа ЭКЛЗ
220;Неизвестная ошибка
221;ЭКЛЗ близка к заполнению
222;ЭКЛЗ неактивизирована
223;ЭКЛЗ уже активизирована
224;Архив ЭКЛЗ закрыт
225;Смена в ЭКЛЗ открыта
226;Нет записи активизации данной ЭКЛЗ в ФП (ЭКЛЗ активизирована в составе другой ККМ)
227;Данная ЭКЛЗ не последняя
255;Клавиша не поддерживается в данном режиме работы ККМ
Штрих-Мини К
001;Некорректный формат
002;Некорректное состояние ЭКЛЗ
003;Авария ЭКЛЗ
004;Авария криптографического сопроцессора
005;Исчерпан лимит времени ЭКЛЗ
006;Переполнение ЭКЛЗ
007;Некорректны дата или время
008;Нет запрошенных в ЭКЛЗ данных
009;Переполнение буфера чека
021;Аппаратная ошибка
022;Нет установленной памяти
023;Память не инициализирована
024;Инициализация запрещена
025;Отсутствует ФП
026;Ошибка соединения
027;Отсутствует бумага
028;Чек не открыт
029;Некорректное значение
030;Чек открыт
031;Неверное количество
032;Неверная цена
033;Сумма клиента меньше итога чека
034;Введена скидка/наценка
035;Операция запрещена в таблице
036;24 часа истекли
037;Сумма сторно больше итога чека
038;Переполнение регистра остатка товара
039;Отсутствует ЭКЛЗ
040;Нарушение контроля наличности
041;Открыта смена
042;Номер ЭКЛЗ не совпадает с записью активизации
043;ЭКЛЗ не активизирована
044;Архив ЭКЛЗ закрыт
045;Операция невозможна без ЭКЛЗ
046;Некорректный вид оплаты
047;ККМ не фискализирована
048;Последняя запись в ФП некорректна
049;Повторный ввод точки не возможен
050;Нажата несекционная клавиша
051;Переполнение 10 десятичных разрядов
052;Отсутствует внутренний товар
053;Неверный номер секции
054;Ошибка ОЗУ
055;Переполнение ФП
056;Расхождение номеров смен ФП и ЭКЛЗ
057;Попытка активизации уже активированной ЭКЛЗ с открытым архивом
058;Попытка активизации уже активированной ЭКЛЗ с закрытым архивом
059;Авария ФП
191;Недопустимый номер ТРК
192;Недопустимая команда ТРК при данном состоянии
193;Неправильная контрольная сумма
FPrint-90AK
Е000-008;Неверная цена/сумма чека
Е000-010;Неверное количество
Е000-012;Сторно последней операции невозможно
Е000-017;Неверный код товара
Е000-103;Нет бумаги
Е000-127;Переполнение при умножении
Е000-129;Переполнение итога чека
Е000-134;Вносимая клиентом сумма меньше суммы чека
Е000-136;Смена превысила 24 часа
Е000-150;Сумма чека по секции меньше суммы сторно
Е000-151;Подсчёт суммы сдачи невозможен
Е000-152;В ККМ недостаточно денег для выплаты
Е000-153;Смена закрыта, операция невозможна
Е000-154;Чек закрыт, операция невозможна
Е000-156;Смена открыта, операция невозможна
Е000-160;Сбой обмена с ФП
Е000-161;Ошибка данных ФП
Е000-170;В ФП нет данных
Е000-190;Переполнение ФП
Е000-191;Ошибка ПО
Е000-210;Ошибка связи ЭКЛЗ или ЭКЛЗ отсутствует
Е000-211;Некорректный формат команды или параметров ЭКЛЗ
Е000-212;Некорректное состояние ЭКЛЗ
Е000-213;Авария ЭКЛЗ
Е000-214;Авария криптографического сопроцессора ЭКЛЗ
Е000-215;Исчерпан временной ресурс ЭКЛЗ
Е000-216;ЭКЛЗ переполнена
Е000-217;Неверные дата и время, переданные в ЭКЛЗ
Е000-218;Нет запрошенных данных в ЭКЛЗ
Е000-219;Переполнение итога документа ЭКЛЗ
Е000-221;Номер смены в ЭКЛЗ и ККМ не совпадает
Е000-222;ЭКЛЗ не активизирована
Е000-223;ЭКЛЗ уже активизирована
Е000-226;Нет записи активизации данной ЭКЛЗ в ФП (ЭКЛЗ активизирована в составе другой ККМ)
Е000-255;Неверное состояние ККМ
Е130-005;В часах неверное время
Е130-007;Нет ФП
Е130-017;Низкое напряжение аккумулятора
Е130-024;Таблицы не инициализированы
Е130-025;Регистры не инициализированы
Е130-026;Нет связи с принтером (ТПМ отсутствует)
Е130-027;Механическая ошибка принтера
Е130-029;Недостаточный уровень питания
Е134-019;Неверный номер смены
Е134-020;Неверная дата
Е134-021;Недопустимая длина
Е134-023;Неверное время
Е134-026;Дата и время в ККМ меньше чем ФП/ЭКЛЗ/ЭП
Е143-003;ККМ не фискализирована
Е143-233;Фискализация невозможна (неверное состояние ККМ)
Е144-001;Лимит фискализаций исчерпан
Е144-002;Неправильный пароль перерегистрации
Е144-003;Лимит активизаций исчерпан
Е144-004;Состояние ЭКЛЗ не позволяет произвести активизацию
Е144-006;Недопустимый ИНН
Е144-007;Активизация данной ЭКЛЗ в составе данной ККТ невозможна
Е144-008;Недопустимый РНМ
Е144-009;Недопустимая дата
Е144-010;Неверный номер смены
Е144-012;Лимит смен исчерпан
Е144-255;ККМ не фискализирована (при попытке активизировать ЭКЛЗ)
Е146-048;Нет ЭКЛЗ в фискализированной ККМ
Е147-005;Фатальная ошибка ФП
Е147-129;Ошибка интерфейса I2C при обмене с ФП
Е163-026;Отчёт с гашением прерван, требуется возобновление закрытия смены
Е163-124;Операция после скидки/надбавки невозможна
Е163-169;Заводской номер не введён
Е163-177;Неверный код защиты
Е163-178;Невозможна отмена скидки/надбавки/налога
Е163-190;Нужна профилактика, обратитесь в ЦТО
Е164-001;Нет связи с УТМ АТОЛ
Е164-002;Буфер чека в УТМ АТОЛ сброшен
Е164-003;Повтор ШК PDF-417
Е164-004;Регистрация отменена в УТМ АТОЛ
Е164-005;Закрытие чека отменено в УТМ АТОЛ
Е164-006;Аннулирование чека отменено в УТМ АТОЛ
Е164-007;Сторно позиции отменено в УТМ АТОЛ
Е164-008;Сторно позиции отменено кассиром
Е164-009;Истёк таймаут ожидания
Е164-010;Аварийный возврат отменен в УТМ
ЕГАИС;Связь с УТМ АТОЛ успешно установлена
Орион 100К
00;Ошибка программы
01;Ошибка памяти
01 (чек);Некорректный формат команды ЭКЛЗ
02;Неисправна ФП
02 (чек);Некорректное состояние ЭКЛЗ
03;Нет бумаги, не прижат рычаг
03 (чек);Авария ЭКЛЗ или ее КС
04;Аккумулятор разряжен
04 (чек);Авария ЭКЛЗ или ее КС
05;Перегрев принтера
05 (чек);Исчерпан ресурс ЭКЛЗ
06;Авария или отсутствует ЭКЛЗ
06 (чек);ЭКЛЗ переполнена
07 (чек);Неверная дата или время
7E (чек);Авария ЭКЛЗ
7F (чек);Нет связи с ЭКЛЗ (физическое отсоединение или авария)
АКТИВИЗИРУЙТЕ ЭКЛЗ;Необходимо активизировать ЭКЛЗ
НЕТ ДАННЫХ;Нет запрашиваемых данных
Нет кода, звуковой сигнал;Неверное действие оператора
ЭКЛЗ АКТИВИРОВАНА В СОСТАВЕ ДРУГОЙ ККМ;ЭКЛЗ не с этого аппарата, или требуется правка ФП
Орион 110К
АВАРИЯ ЭКЛЗ ИЛИ НЕИСПРАВНОСТЬ КС (чек);Авария ЭКЛЗ или авария КС (криптографического сопроцессора) в составе ЭКЛЗ
АКТИВИЗИРУЙТЕ ЭКЛЗ! (чек);В составе ККМ установлена неактивизированная ЭКЛЗ
АРХИВ ЭКЛЗ ЗАКРЫТ (чек);Архив ЭКЛЗ закрыт, однако чтение ЭКЛЗ разрешено
ИСЧЕРПАН РЕСУРС ЭКЛЗ (чек);Исчерпан временной ресурс использования ЭКЛЗ
НЕВЕРНЫЕ ДАТА ИЛИ ВРЕМЯ (чек);Некорректное введение даты или времени
НЕКОРР. ФОРМАТ КОМАНДЫ ЭКЛЗ (чек);Некорректный формат команды ЭКЛЗ
НЕКОРРЕКТНОЕ СОСТОЯНИЕ ЭКЛЗ (чек);Некорректное состояние ЭКЛЗ
НЕТ ДАННЫХ (чек);Отсутствуют данные в ЭКЛЗ.
ЭКЛЗ ПЕРЕПОЛНЕНА (чек);Переполнение ЭКЛЗ
01;Недопустимая операция
02;Переполнение данных на индикаторе
03;Сработал датчик конца бумаги
04;Дата в ККМ искажена
05;Время в ККМ искажено
06;Прошло больше 24 часов после оформления первого чека в смене
07, 08;Ошибка чтения флэш-памяти
09;Произошло заполнение электронного журнала
0A;Произошло переполнение накопительных регистров по смене
0B;Произошло переполнение накопительных регистров по чеку
0C;Попытка оформить возврат или выплату на сумму большую, чем есть в наличии (денег по кассе)
0D;Недопустимая операция: секция заблокирована в режиме программирования
0E;Введено больше разрядов, чем разрешено в режиме программирования
0F;Товар с таким номером не был внесён в базу данных
10;Данный товар блокирован в режиме программирования
11;Попытка оформить дробное количество товара
12;Копия уже была проведена или копировать нечего
13;Товар с таким кодом закончился
14;Ошибка ввода пароля
15;Невозможно прочитать дату из таймера
16;Невозможно записать дату в таймер
17;Аккумулятор разряжен
18;ПК не отвечает или отключён
19;ЭКЛЗ не отвечает или отключена
1A;Запись в ЭКЛЗ невозможна
1B, 1C;Ошибка записи в ФП
1D, 1E;Ошибка чтения ФП
1F;Ошибка хранения данных в ФП
20;Выполнение текущей операции блокировано
21;Искажён заводской номер ККМ
22;Принтер не отвечает
23;Весы не отвечают или отключены
24;Установлена блокировка ККМ в связи с различными неисправностями
26;Данные в энергонезависимой памяти не сохранились
29;Не снят сменный отчёт
25 (экран), ЭКЛЗ АКТИВИЗИРОВАНА В СОСТАВЕ ДРУГОЙ ККМ (чек);В ККМ установлена ЭКЛЗ, активизированная в составе другой ККМ
27 (экран), Д. ККМ < Д. ЭКЛЗ (чек);Дата в ККМ меньше, чем дата в ЭКЛЗ
28 (экран), Д. ККМ < Д. ФП (чек);Дата в ККМ меньше, чем дата в ФП
Микро 103К, Микро 104К
Е01;ЭКЛЗ неисправна или не установлена
Е02;Ошибка при тестировании ОЗУ
Е03;Ошибка сохранности денежных и операционных регистров
Е04;Ошибка при тестировании процессора
Е05;Ошибка КС при тестировании ПЗУ
Е06;Ошибка печатающего устройства: открыта термоголовка
Е07;Отсутствие чековой ленты
Е08;Рано снимается напряжение с блока управления при выключении машины
Е09;Ошибка информации в области ОЗУ программируемых цен
Е10;Ошибка контроля информации в области ОЗУ свёртки программы
Е11;Продолжительность смены превышает допустимую
Е12;Чужая ЭКЛЗ
Е13;Попытка ввода даты, более ранней, чем дата последней записи в ФП
Е14;Несоответствие заводского номера машины, записанному в ФП
Е15;ФП неисправна, не установлена или не инициализирована
Е16;Переполнение ФП
Е17;При переходе в режим фискальных отчётов не выполнен Z1-отчёт
Е18;Ошибка при тестировании схемы управления ФП и индикации
Е19;ЭКЛЗ неисправна или установлена активизированная ЭКЛЗ в нефискализированную ККМ
Е20;Машина не фискализирована
Е21;Не распечатан отчёт «Запрос итогов смены» в Z1-отчёте
Е22;Машина обнаружила ошибку, которая блокирует продолжение работы
Е23;ЭКЛЗ чужая или активизирована ранее
Е24;Нет доступа к фискальному режиму, машина без номера
Е25;Не закрыт архив в ранее используемой ЭКЛЗ
Е26;Ошибка при тестировании области ОЗУ (в технологическом режиме)
Е27;Номер закрытой смены в ФП не равен номеру закрытой смены в ЭКЛЗ
Е28;Номер Z1-отчёта не равен номеру закрытой смены в ЭКЛЗ
Е29;Номер Z1-отчёта не равен номеру закрытой смены в ФП
Е30;Работа на машине запрещена до ввода даты или была попытка ввода даты более ранней, чем дата последней записи в ФП
Е31;Нет доступа кассира или администратора
Е32;Корректировка даты и времени запрещена до Z1-отчёта
Е33;Количество покупок в одном чеке равно 15
Е34;Переполнение списка штриховых кодов
Е35;Ошибка по КС при работе со штриховыми кодами
Е36;Разрушены параметры активизации ФП
Е37;Разрушены параметры активизации ЭКЛЗ
Е38;Дата в таймере превышает дату последнего документа в ЭКЛЗ на величину более допустимой
Е50;Захват ЭКЛЗ линии SCL превышает допустимое время
Е51;ЭКЛЗ не подтверждает приём байта
Е52;Захват ЭКЛЗ линии SCL превышает 100 мкс при передаче или 300 мкс при приёме информации
Е53;Нулевая длина процедуры
Е54;Захват ЭКЛЗ линии SCL превышает 1,5 секунд при передаче или 30 секунд при приёме информации
Е55;Ошибка КС при чтении из ЭКЛЗ
Е54;Превышение ЭКЛЗ времени тайм-аута
Е60;Разница кода команды и флага t при d = 1
Е62;Архив закрыт
Е63;ЭКЛЗ не активизированная/активизированная (несоответствие установленному флагу)
Е64;Не снят флаг «отчёт»
Е65;Документ открыт/закрыт (несоответствие установленному флагу)
Е66;Не закрыта смена в ЭКЛЗ
Е67;Неисправимая ошибка ЭКЛЗ
Е68;Номер смены конца периода меньше номера смены начала периода
Е69;В ЭКЛЗ / ФП отсутствует заданный номер смены
Е70;Попытка закрыть неоткрытую смену при переполнении ЭКЛЗ
Е71;Некорректный формат или параметр команды
Е72;Некорректное состояние ЭКЛЗ
Е73;Авария ЭКЛЗ
Е74;Авария криптографического сопроцессора
Е75;Исчерпан временной ресурс использования ЭКЛЗ
Е76;ЭКЛЗ переполнена
Е77;Не верные дата и время
Е78;Нет запрошенных данных
Е79;Переполнение / отрицательный итог документа
1 (чек);Несанкционированная запись в ФП
2 (чек);Проведена фискализация и четыре перерегистрации
3 (чек);В ФП находится начальная информация
4 (чек);Информация не записывается в ФП
5 (чек);При занесении параметров фискализации / перерегистрации произошла ошибка
6 (чек);Более 20 зон не пригодны для занесения информации
7 (чек);Проведены все активизации ЭКЛЗ
8 (чек);Ошибка записи уровня фискализации в строке активизации ЭКЛЗ
SAMSUNG ER4615RK
О1;Нарушена последовательность действий. Или несовпадение количества смен в ФП и в ЭКЛЗ
О2;Открыт денежный ящик (см. опцию 24). Нажать СБРОС, закрыть ящик, продолжить работу
О4;Не закончены операции ПРИХОД и РАСХОД. Нажать СБРОС, завершить операции ПРИХОД и РАСХОД, нажать ИТОГ/НАЛ
О5;Попытка завершить многочековую операцию без нажатия ОТД. ЧЕК. Нажать СБРОС, ИТОГ/НАЛ
О6;Переполнение в режиме калькулятора
О7;Ошибка при программировании паролей режимов. Нажать СБРОС, повторить программирование паролей режимов
О8;Ошибка при программировании даты/времени. Нажать СБРОС, повторить программирование
О9;Сбой записи-чтения при обращении к ФП
О10;Сбой контрольной суммы Z-отчёта
О11;Необходимо снятие Z-отчёта
О12;Ввод неправильного пароля доступа к ФП
О13;Ввод даты, предшествующей уже проведённому Z-отчёту
О14;Ожидание ввода пароля доступа к ФП
О15;Прошло более 24-х часов с момента регистрации первой покупки
О16;Попытка перепрограммирования опции 10
О17;Попытка коррекции даты/времени при неснятом Z-отчёте
О18;Некорректный выход из режима фискализации
О19;Превышен лимит ежедневного гросс-итога. Нажать СБРОС, перейти в режим Z, набрать 100, нажать ПОДИТОГ
О20;переполнение итога по отдельному ПЛУ
О22;Сбой ОЗУ или несанкционированная замена ФП
О24;Попытка выполнить скидку при продаже товаров с разными налогами
О25;Не введён пароль настройки на работу с ТРК. В режиме Рег набрать 3999, нажать КОНВ1
О26;Нельзя отменять чек нажатием клавиши ПОЛН. СТОРНО, если в чеке были регистрации ПЛУ
О27;ТРК запрограммирована как отдел и ПЛУ с одинаковым номером
О28;Ошибки в формате печати отдела/ПЛУ или ошибки в параметрах отдела/ПЛУ для ТРК. Требуется подать команду «Остановка» на все колонки (КОНВ1, ПОЛН. СТОРНО)
О29;Превышение допустимой суммы при расчёте дозы налива (расчётная доза больше 999 литров)
О31;ЭКЛЗ отключена от ККМ. Сопровождается печатью на принтере «Подключите ЭКЛЗ»
О32;Авария ЭКЛЗ
О33;ЭКЛЗ не активизирована
О34;Закройте архив ЭКЛЗ
О35;В соединённой с ККМ ЭКЛЗ закрыт архив, или для проведения перерегистрации необходимо заменить ЭКЛЗ, или нулевой итог чека
О99;Ввод пароля, несоответствующего заводскому номеру (код на корпусе)
О216;Разрушена БД РПЛУ
О217;Недопустимый статус ТРК
О218;Недопустимая команда ККМ в ТРК
О219;Ошибка возврата 0 литров (ТРК)
О220;При ручном возврате из ТРК не совпал остаток
О221;Авария ТРК
О222;При оплате магнитной картой не совпала сумма
О224;ТРК уже загружена, или не было продажи
О225;Недопустимый номер ТРК
О226;Недопустимая команда ТРК при данном состоянии ТРК
О227;Ошибка при обмене с ТРК
О229;Ошибка при оплате пластиковой картой
О232;Ошибка при работе с весами
О233;Ошибка при пересылке копии контрольной ленты
О235;Испорчена строка РПЛУ
О239;Таймаут при приёме команды
